# z[kpc], Isyn1, Isyn2, alpha_syn, I1, I2, alpha
5.200000e+00 1.751779e-02 3.395345e-03 1.319621e+00 2.517650e-02 2.272309e-02 9.575183e-01
5.240000e+00 1.719724e-02 3.314791e-03 1.324079e+00 2.484213e-02 2.241321e-02 9.578087e-01
5.280000e+00 1.687474e-02 3.236132e-03 1.328168e+00 2.451280e-02 2.210812e-02 9.580985e-01
5.320000e+00 1.663683e-02 3.178975e-03 1.331081e+00 2.418840e-02 2.180771e-02 9.583875e-01
5.360000e+00 1.641479e-02 3.123797e-03 1.334356e+00 2.386883e-02 2.151189e-02 9.586758e-01
5.400000e+00 1.612645e-02 3.048534e-03 1.339718e+00 2.355399e-02 2.122055e-02 9.589634e-01
5.440000e+00 1.573857e-02 2.950990e-03 1.346292e+00 2.324378e-02 2.093361e-02 9.592503e-01
5.480000e+00 1.553301e-02 2.904388e-03 1.348521e+00 2.293811e-02 2.065098e-02 9.595366e-01
5.520000e+00 1.531392e-02 2.852978e-03 1.351459e+00 2.263690e-02 2.037256e-02 9.598222e-01
5.560000e+00 1.510893e-02 2.802831e-03 1.354883e+00 2.234004e-02 2.009828e-02 9.601072e-01
5.600000e+00 1.484209e-02 2.733913e-03 1.360575e+00 2.204746e-02 1.982806e-02 9.603915e-01
5.640000e+00 1.456885e-02 2.667733e-03 1.365339e+00 2.175908e-02 1.956181e-02 9.606752e-01
5.680000e+00 1.429418e-02 2.603470e-03 1.369642e+00 2.147482e-02 1.929946e-02 9.609583e-01
5.720000e+00 1.409230e-02 2.557269e-03 1.372603e+00 2.119459e-02 1.904094e-02 9.612409e-01
5.760000e+00 1.390315e-02 2.511853e-03 1.376147e+00 2.091834e-02 1.878617e-02 9.615228e-01
5.800000e+00 1.369478e-02 2.459739e-03 1.380863e+00 2.064598e-02 1.853509e-02 9.618042e-01
5.840000e+00 1.340331e-02 2.388451e-03 1.387214e+00 2.037744e-02 1.828763e-02 9.620850e-01
5.880000e+00 1.316037e-02 2.331957e-03 1.391755e+00 2.011266e-02 1.804372e-02 9.623652e-01
5.920000e+00 1.296347e-02 2.289039e-03 1.394571e+00 1.985156e-02 1.780329e-02 9.626449e-01
5.960000e+00 1.279521e-02 2.249754e-03 1.397986e+00 1.959410e-02 1.756630e-02 9.629241e-01
6.000000e+00 1.259653e-02 2.200630e-03 1.403156e+00 1.934020e-02 1.733267e-02 9.632028e-01
6.040000e+00 1.234247e-02 2.139144e-03 1.409559e+00 1.908979e-02 1.710235e-02 9.634809e-01
6.080000e+00 1.210183e-02 2.084311e-03 1.414608e+00 1.884284e-02 1.687528e-02 9.637586e-01
6.120000e+00 1.192017e-02 2.045913e-03 1.417399e+00 1.859926e-02 1.665140e-02 9.640357e-01
6.160000e+00 1.177934e-02 2.013258e-03 1.420781e+00 1.835902e-02 1.643067e-02 9.643124e-01
6.200000e+00 1.158135e-02 1.965832e-03 1.426320e+00 1.812205e-02 1.621302e-02 9.645886e-01
6.240000e+00 1.134616e-02 1.910065e-03 1.432965e+00 1.788830e-02 1.599842e-02 9.648643e-01
6.280000e+00 1.113226e-02 1.863105e-03 1.437678e+00 1.765772e-02 1.578679e-02 9.651396e-01
6.320000e+00 1.095604e-02 1.825913e-03 1.441062e+00 1.743025e-02 1.557811e-02 9.654145e-01
6.360000e+00 1.082573e-02 1.795990e-03 1.444729e+00 1.720586e-02 1.537232e-02 9.656889e-01
6.400000e+00 1.064269e-02 1.753003e-03 1.450498e+00 1.698448e-02 1.516937e-02 9.659628e-01
6.440000e+00 1.043767e-02 1.704696e-03 1.457327e+00 1.676607e-02 1.496921e-02 9.662364e-01
6.480000e+00 1.022855e-02 1.660355e-03 1.462246e+00 1.655060e-02 1.477181e-02 9.665096e-01
6.520000e+00 1.007937e-02 1.630501e-03 1.465023e+00 1.633800e-02 1.457712e-02 9.667823e-01
6.560000e+00 9.955655e-03 1.603088e-03 1.468727e+00 1.612824e-02 1.438510e-02 9.670546e-01
6.600000e+00 9.788456e-03 1.563569e-03 1.475180e+00 1.592127e-02 1.419570e-02 9.673266e-01
6.640000e+00 9.585030e-03 1.516494e-03 1.482875e+00 1.571705e-02 1.400889e-02 9.675982e-01
6.680000e+00 9.391911e-03 1.476925e-03 1.487770e+00 1.551554e-02 1.382462e-02 9.678694e-01
6.720000e+00 9.254556e-03 1.450366e-03 1.490515e+00 1.531670e-02 1.364286e-02 9.681403e-01
